# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	9687
#@/user_id	arsiendle_pc
a;ka 	啊	c=9 d=1.45172 t=9687
cè;dz 	测	c=6 d=0.134156 t=9687
cè;dz fǎ;dq 	测法	c=2 d=0.0102874 t=9687
cè;dz le;aa,vu yí;aa xià;ab,ad 	测了一下	c=1 d=1 t=9533
cè;dz shì;yu 	测试	c=2 d=0.177361 t=9687
cè;dz yàn;ma,mq 	测验	c=4 d=0.0421654 t=9687
cè;iz suǒ;hj,jh 	厕所	c=1 d=0.913931 t=9687
cè;vc lüè;tg 	策略	c=1 d=0.000246044 t=9687
cì;dq 	次	c=1 d=0.250324 t=9687
cì;dq xuǎn;zx 	次选	c=2 d=0.000445311 t=9687
cí;ys 	词	c=3 d=0.30898 t=9687
cí;ys diǎn;ba,bd 	词典	c=1 d=0.631284 t=9687
cí;ys jù;gk,kg,pk 	词句	c=2 d=0.737123 t=9687
cí;ys kù;gi 	词库	c=15 d=1.99922 t=9687
cí;ys pín;yb 	词频	c=2 d=0.0119742 t=9687
cí;ys yún;es,se 	词云	c=0 d=1.0569e-05 t=9687
cí;ys zhōng;aa,ka 	词中	c=0 d=0.0194952 t=9687
cóng;rr 	从	c=14 d=2.90952 t=9687
cóng;rr bù;ad,ax 	从不	c=0 d=1.14493e-05 t=9687
cóng;rr bù;ad,ax kāi;ac jìng;jj 	从不开镜	c=1 d=0.000115067 t=9687
cóng;rr bú;ad,ax yòng;kf 	从不用	c=1 d=0.034562 t=9687
cóng;rr lái;am,wb 	从来	c=1 d=0.00146632 t=9687
cóng;rr méi;du 	从没	c=1 d=0.000871757 t=9687
cún;uz,za chǔ;rv 	存储	c=1 d=0.551563 t=9687
cún;uz,za zài;ta,ut 	存在	c=21 d=1.35906 t=9687
cāi;qq de;bu 	猜的	c=1 d=1 t=9598
cān;sp kǎo;lk 	参考	c=10 d=0.606549 t=9687
cān;sp kǎo;lk dá;vh àn;bm,ma 	参考答案	c=5 d=0.00537019 t=9687
cān;sp kǎo;lk dá;vh àn;bm,ma liè;dd 	参考答案列	c=1 d=0.00108628 t=9687
cān;sp shù;wl 	参数	c=1 d=0.315058 t=9687
cāng;re kù;gi 	仓库	c=17 d=4.08003 t=9687
cāo;fz zuò;rv 	操作	c=1 d=0.01649 t=9687
cǎi;mv,vm nà;sn 	采纳	c=1 d=0.082085 t=9687
cǎi;mv,vm yòng;kf 	采用	c=1 d=0.0173355 t=9687
cǎo;cz le;aa,vu 	草了	c=1 d=0.0192547 t=9687
cǐ;vb qián;bd,qd 	此前	c=1 d=0.00112497 t=9687
cǐ;vb shí;oc 	此时	c=6 d=0.699887 t=9687
de;bu 	的	c=500 d=14.7379 t=9687
de;bu tí;uy,yu 	的题	c=0 d=0.00141931 t=9687
de;ty 	地	c=1 d=0.600496 t=9687
diàn;ag,og lì;gp diàn;ag,og zǐ;aa,vh 	电力电子	c=0 d=0.0843665 t=9687
diàn;ag,og lì;gp diàn;ag,og zǐ;aa,vh hé;hk diàn;ag,og lì;gp tuō;fy dòng;ly,yl kòng;fk zhì;dg,dv xì;ps tǒng;si de;bu 	电力电子和电力拖动控制系统的	c=1 d=0.847894 t=9687
diàn;ag,og lì;gp tuō;fy dòng;ly,yl 	电力拖动	c=0 d=0.0843665 t=9687
diàn;ag,og nǎo;ox 	电脑	c=8 d=2.44468 t=9687
diàn;ag,og nǎo;ox shàng;aa,ba 	电脑上	c=1 d=0.0200405 t=9687
diào;fv 	掉	c=4 d=1.0566 t=9687
diào;fv de;bu 	掉的	c=1 d=0.286505 t=9687
diào;yv huàn;fh 	调换	c=3 d=0.0328495 t=9687
diū;pq,ps 	丢	c=1 d=8.76574e-10 t=9687
diū;pq,ps de;bu 	丢的	c=1 d=0.771052 t=9687
diū;pq,ps qì;cw,wc 	丢弃	c=1 d=0.000312783 t=9687
